dataset,arm,seed,n_ck,ep_max,ep_star_nll,ep_best_marg,ep_best_disc,rho_gap[srlg_mean],rho_dcr[srlg_mean],argmin[srlg_mean],rho_gap[srlg_ks],rho_dcr[srlg_ks],argmin[srlg_ks],rho_gap[srlg_tail],rho_dcr[srlg_tail],argmin[srlg_tail]
abalone,default,0,25,120,10,95,55,-0.07461538461538461,0.02770829786264736,1,-0.25,-0.0850490809395148,15,0.10846153846153846,0.06542236995347293,1
abalone,default,1,25,120,10,115,50,-0.07461538461538461,0.33435939373783224,1,-0.30230769230769233,0.16275491778032572,15,0.050769230769230775,0.21315892305035566,1
abalone,default,2,25,120,15,95,50,-0.07923076923076922,0.0654349693507883,1,-0.3892307692307692,-0.1547344569353935,15,-0.061538461538461535,-0.10700542046775968,1
abalone,wk,0,31,300,50,120,140,0.9399193548387097,0.6740598884946283,20,0.9278225806451614,0.6976509764257893,50,0.7000000000000001,0.7301139264849085,70
abalone,wk,1,31,300,50,210,120,0.9379032258064517,0.7964905851744909,40,0.933467741935484,0.7950787254388056,30,0.6612903225806452,0.6187979527260923,40
abalone,wk,2,31,300,40,240,250,0.9116935483870968,0.7309053563464205,40,0.9310483870967743,0.7587532136561405,40,0.5483870967741937,0.4893554635947182,80
adult5k,default,0,25,120,5,120,40,-0.2353846153846154,-0.16586494970556961,1,-0.48,-0.3482779106346647,15,0.1392307692307692,-0.06003464536906928,1
adult5k,default,1,25,120,5,105,60,-0.24923076923076923,-0.006539719297738049,1,-0.3769230769230769,-0.08809386583423608,15,0.16692307692307692,-0.03115983900686953,1
adult5k,default,2,25,120,10,115,45,-0.16076923076923075,0.08076923076923077,1,-0.3976923076923076,-0.12538461538461537,15,0.27307692307692305,0.09384615384615384,5
adult5k,wk,0,31,300,30,300,170,0.4028225806451613,0.23091661841102884,10,0.4205645161290323,0.21276596718221436,20,-0.21048387096774193,-0.0808712349194957,30
adult5k,wk,1,31,300,30,260,180,0.4516129032258065,0.3905635668603335,10,0.47620967741935494,0.41113015633878164,60,-0.05806451612903227,0.03205968359875737,40
adult5k,wk,2,31,300,40,290,100,0.385483870967742,0.1751059429014404,10,0.3941929650035891,0.18662364928144057,40,-0.2919354838709678,-0.14101273512454707,30
diabetes,default,0,25,120,5,110,25,-0.4576923076923077,-0.149219670503317,1,-0.5761538461538462,-0.27183428347503485,5,0.13153846153846155,-0.10179326359916198,1
diabetes,default,1,25,120,5,105,30,-0.5007692307692309,-0.17989235530359862,1,-0.6784615384615386,-0.31240406884629224,5,-0.2553846153846154,-0.4726507922002473,1
diabetes,default,2,25,120,5,115,25,-0.32923076923076927,0.14652060669576344,1,-0.5669230769230769,-0.005398127615107074,10,-0.07307692307692308,0.12261461297171784,1
diabetes,wk,0,31,300,30,280,70,0.47822580645161294,0.41446240968975095,10,0.4754032258064516,0.4106247947852162,30,-0.3189516129032258,-0.09129483878156307,10
diabetes,wk,1,31,300,40,230,70,0.4560483870967743,0.2806888545514829,10,0.4471774193548388,0.2758354449626965,20,-0.29435483870967744,-0.14438893526639685,20
diabetes,wk,2,31,300,40,300,60,0.4471774193548388,0.49045992636022373,10,0.4322580645161291,0.4718834285318415,40,-0.2758064516129033,-0.23038895676287166,10
insurance,default,0,25,120,5,120,35,-0.4676923076923077,-0.354323449193073,5,-0.6223076923076922,-0.5518972855366018,110,-0.0723076923076923,-0.1748509194931034,5
insurance,default,1,25,120,5,115,30,-0.3192307692307692,-0.18178333480340267,1,-0.5192307692307693,-0.4028503563651678,10,-0.24923076923076923,-0.23878319402141876,1
insurance,default,2,25,120,5,115,20,-0.47846153846153844,-0.3240853800024517,1,-0.7615384615384616,-0.5622361110862985,110,-0.10230769230769231,-0.15529893952555057,60
insurance,wk,0,31,300,50,70,100,0.4173387096774194,0.2924320358667515,10,0.4741935483870969,0.336428021939182,30,-0.4637096774193549,-0.3124118644042314,30
insurance,wk,1,31,300,40,280,100,0.43669354838709684,-0.1932555025898104,10,0.4846774193548387,-0.22697929457779192,1,-0.4415322580645162,-0.4531508336588657,290
insurance,wk,2,31,300,50,280,90,0.40403225806451615,0.43076333571819503,10,0.43104838709677423,0.4626567785689331,40,-0.4983870967741937,-0.3425517247955844,300
